ID,Drug Name,Targets,Z score,Count,Cell line name,SMILES,cell ID,CPD
1997,WEHI-539,BCL-XL,0.9727275343930804,179,HPAC,C1CC2=C(C=C(C=C2)C3=NC(=C(S3)CCCOC4=CC=C(C=C4)CN)C(=O)O)/C(=N/NC5=NC6=CC=CC=C6S5)/C1,CVCL_3517,NCc1ccc(OCCCc2sc(-c3ccc4c(c3)/C(=N/Nc3nc5ccccc5s3)CCC4)nc2C(=O)O)cc1
2047,Ulixertinib,"ERK1, ERK2",0.979697139260276,179,HPAC,CC(C)NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)N[C@H](CO)C3=CC(=CC=C3)Cl)Cl,CVCL_3517,CC(C)Nc1cc(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)c(Cl)cn1
1249,BMS-345541,"IKK-1, IKK-2",0.9860936798431796,179,HPAC,CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN.Cl,CVCL_3517,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1
1013,Nilotinib,ABL,0.994148800352224,179,HPAC,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,CVCL_3517,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
1017,Olaparib,"PARP1, PARP2",1.0207620966774835,179,HPAC,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,CVCL_3517,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
1084,Rapamycin,MTORC1,1.0311353493952842,179,HPAC,CC1=NC(=C(N1)[N+](=O)[O-])N(CCN2CCOCC2)CC3=CC=CC=C3F,CVCL_3517,Cc1nc(N(CCN2CCOCC2)Cc2ccccc2F)c([N+](=O)[O-])[nH]1
1912,Afuresertib,"AKT1, AKT2, AKT3",1.033194948217547,179,HPAC,CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)N[C@@H](CC3=CC(=CC=C3)F)CN)Cl,CVCL_3517,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl
1720,AZD5991,MCL1,1.0440604089439494,179,HPAC,CC1=C2C(=NN1C)CSCC3=NN(C(=C3)CSC4=CC5=CC=CC=C5C(=C4)OCCCC6=C(N(C7=C6C=CC(=C27)Cl)C)C(=O)O)C,CVCL_3517,Cc1c2c(nn1C)CSCc1cc(n(C)n1)CSc1cc(c3ccccc3c1)OCCCc1c(C(=O)O)n(C)c3c-2c(Cl)ccc13
1873,Buparlisib,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",1.0578860379988098,179,HPAC,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,CVCL_3517,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1
1058,Pictilisib,PI3K (class 1),1.0633638684879747,179,HPAC,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,CVCL_3517,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
1268,XAV939,"TNKS1, TNKS2",1.111512532856635,179,HPAC,C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,CVCL_3517,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2
1088,Irinotecan,TOP1,1.1201203999780498,179,HPAC,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,CVCL_3517,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
1819,Docetaxel,Microtubule stabiliser,1.1218228513775157,179,HPAC,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,CVCL_3517,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C
1259,Talazoparib,"PARP1, PARP2",1.1339414122430729,179,HPAC,CC(C)/C=N/NC(=O)C1=CC=C(C=C1)NC(=O)C,CVCL_3517,CC(=O)Nc1ccc(C(=O)N/N=C/C(C)C)cc1
1862,MG-132,"Proteasome, CAPN1",1.137083278045554,179,HPAC,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,CVCL_3517,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1
1849,Sabutoclax,"BCL2,  BCL-XL,  BFL1, MCL1",1.1385811281179616,179,HPAC,CC1=CC2=C(C(=C(C=C2C(=C1C3=C(C4=CC(=C(C(=C4C=C3C)C(=O)NC[C@H](C)C5=CC=CC=C5)O)O)O)O)O)O)C(=O)NC[C@H](C)C6=CC=CC=C6,CVCL_3517,Cc1cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c1O
1080,Paclitaxel,Microtubule stabiliser,1.1567365747732876,179,HPAC,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,CVCL_3517,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
1913,AGI-5198,IDH1 (R132H),1.1898294043365538,179,HPAC,CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(C3=CC(=CC=C3)F)C(=O)CN4C=CN=C4C,CVCL_3517,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccnc1C)c1cccc(F)c1
1057,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",1.189888318963446,179,HPAC,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,CVCL_3517,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
1806,Oxaliplatin,DNA alkylating agent,1.1931281833642975,179,HPAC,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],CVCL_3517,N[C@@H]1CCCC[C@H]1N
2045,AMG-319,PI3K (beta sparing),1.207871003597888,179,HPAC,C[C@@H](C1=C(N=C2C=C(C=CC2=C1)F)C3=CC=CC=N3)NC4=NC=NC5=C4NC=N5,CVCL_3517,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2ccc(F)cc2nc1-c1ccccn1
