SMILES,Supplier Ref,CLNUMBER,PLATE,Capan-2,SW1990,BxPC-3,HPAF-II,CFPAC-1,Panc10.05,AsPC-1,in_plate_selection,positives Capan-2,positives SW1990,positives BxPC-3,positives HPAF-II,positives CFPAC-1,positives Panc10.05,positives AsPC-1,# positives,positives any
O=C1c2ccccc2C(=O)c2cc(OCC(O)CN3CCOCC3)ccc21,4013-0013,CL0699,PLATE_001,12.6436,8.6108,-5.9979,7.6253,4.2364,-2.7873,2.1475,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1nnn(-c2nonc2N)c1CN1CCCC(C)C1,6703-1526,CL1239,PLATE_001,5.7293,7.0999,-1.3428,-2.9294,2.8948,-11.8292,-2.6349,0,0,0,0,0,0,0,0,0,0
Oc1ccccc1C1=Nc2ccccc2N=C(c2ccc(Cl)cc2)C1,4019-0004,CL1432,PLATE_001,1.9392,3.4416,-2.6683,9.0466,-0.6956,-10.3935,-5.7193,0,0,0,0,0,0,0,0,0,0
CC(C)OC(=O)c1nnn(-c2nonc2N)c1CN1CCOCC1,6703-1562,CL1239,PLATE_001,2.599,-2.839,-2.0732,-1.0787,-6.5333,-6.7143,-7.9627,0,0,0,0,0,0,0,0,0,0
Oc1ccccc1C1=Nc2ccccc2N=C(c2ccc(Br)cc2)C1,4019-0007,CL1432,PLATE_001,18.1475,12.4986,-0.7131,10.1901,10.5406,1.4819,-14.241,0,0,0,0,0,0,0,0,0,0
O=C1c2ccccc2C(=O)N1CCCn1c2ccc(Br)cc2c2nc3ccccc3nc21,6706-0167,CL1133C,PLATE_001,5.353,7.8826,2.7213,8.8812,-0.4363,-3.5093,3.153,0,0,0,0,0,0,0,0,0,0
COc1cc(C2Nc3cc(C)c(C)cc3NC3=C2C(=O)CC(C)(C)C3)ccc1OC(C)=O,5991-0113,CL2389,PLATE_001,10.6578,5.3719,-0.199,2.869,14.1962,5.3005,7.7355,0,0,0,0,0,0,0,0,0,0
CSc1nc2sc3c(c2c2nnc(SC(C)C(=O)N4CCOCC4)n12)CC(C(C)C)OC3,6280-0730,CL1987,PLATE_001,11.4855,-7.309,-1.1918,0.3491,13.4297,3.0077,10.092,0,0,0,0,0,0,0,0,0,0
O=C1CC(c2ccccc2)CC2=C1C(c1ccc3ccccc3c1)Nc1ccccc1N2,5991-0149,CL2390,PLATE_001,11.0737,1.8235,-0.5964,0.2212,8.2615,9.2276,4.0549,0,0,0,0,0,0,0,0,0,0
CCCCCOC(=O)CSc1nc(N)c2c3c(sc2n1)COC(C)(C)C3,6280-1202,CL2296,PLATE_001,2.6668,-11.9224,-8.414,-3.5086,1.9834,-10.9458,4.8864,0,0,0,0,0,0,0,0,0,0
COc1cc(C2C(C(=O)OC3CCCCCC3)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(OC)c1OC,5991-0231,CL1832,PLATE_001,1.6713,9.776,-5.1371,1.4756,0.7837,-3.1357,-13.034,0,0,0,0,0,0,0,0,0,0
